00-C0-4C	& TRADE|AU|
30-D9-D9	1 Infinite Loop|Cupertino CA 95014|US|
30-F7-C5	1 Infinite Loop|Cupertino CA 95014|US|
34-08-BC	1 Infinite Loop|Cupertino CA 95014|US|
34-12-98	1 Infinite Loop|Cupertino CA 95014|US|
34-15-9E	1 Infinite Loop|Cupertino CA 95014|US|
34-2F-6E	1 Zusyo, Baba|Nagaokakyo Kyoto pref. 617-8550|JP|
34-36-3B	1 Infinite Loop|Cupertino CA 95014|US|
34-42-62	1 Infinite Loop|Cupertino CA 95014|US|
34-51-C9	1 Infinite Loop|Cupertino CA 95014|US|
34-5A-06	1 Takumi-cho, Sakai-ku|Sakai City Osaka 590-8522|JP|
34-7C-25	1 Infinite Loop|Cupertino CA 95014|US|
34-A3-95	1 Infinite Loop|Cupertino CA 95014|US|
34-A8-EB	1 Infinite Loop|Cupertino CA 95014|US|
34-AB-37	1 Infinite Loop|Cupertino CA 95014|US|
34-C0-59	1 Infinite Loop|Cupertino CA 95014|US|
34-C0-F9	1 Allen-Bradley Dr.|Mayfield Heights OH 44124-6118|US|
34-E2-FD	1 Infinite Loop|Cupertino CA 95014|US|
38-0F-4A	1 Infinite Loop|Cupertino CA 95014|US|
38-48-4C	1 Infinite Loop|Cupertino CA 95014|US|
38-53-9C	1 Infinite Loop|Cupertino CA 95014|US|
38-66-F0	1 Infinite Loop|Cupertino CA 95014|US|
38-71-DE	1 Infinite Loop|Cupertino CA 95014|US|
38-89-2C	1 Infinite Loop|Cupertino CA 95014|US|
38-B5-4D	1 Infinite Loop|Cupertino CA 95014|US|
38-C9-86	1 Infinite Loop|Cupertino CA 95014|US|
38-CA-DA	1 Infinite Loop|Cupertino CA 95014|US|
38-F9-D3	1 Infinite Loop|Cupertino CA 95014|US|
3C-07-54	1 Infinite Loop|Cupertino CA 95014|US|
3C-09-6D	1 Bridge Street|Newton MA 02458|US|
3C-15-C2	1 Infinite Loop|Cupertino CA 95014|US|
3C-1E-04	1 Internal Business Park, #03-12,The Synergy, Singapore|Singapore Singapore 609917|SG|
3C-2C-99	1 Creation RD 3.|Hsinchu 30077|TW|
3C-2E-F9	1 Infinite Loop|Cupertino CA 95014|US|
3C-2E-FF	1 Infinite Loop|Cupertino CA 95014|US|
3C-83-75	1 Microsoft Way|Redmond Washington 98052|FI|
3C-AB-8E	1 Infinite Loop|Cupertino CA 95014|US|
3C-D0-F8	1 Infinite Loop|Cupertino CA 95014|US|
3C-E0-72	1 Infinite Loop|Cupertino CA 95014|US|
40-26-19	1 Infinite Loop|Cupertino CA 95014|US|
40-30-04	1 Infinite Loop|Cupertino CA 95014|US|
40-33-1A	1 Infinite Loop|Cupertino CA 95014|US|
40-3C-FC	1 Infinite Loop|Cupertino CA 95014|US|
40-4D-7F	1 Infinite Loop|Cupertino CA 95014|US|
40-68-26	1 Linthouse Road|Glasgow Scotland G51 4BZ|GB|
40-6C-8F	1 Infinite Loop|Cupertino CA 95014|US|
40-83-1D	1 Infinite Loop|Cupertino CA 95014|US|
40-98-AD	1 Infinite Loop|Cupertino CA 95014|US|
40-9B-CD	1 Internal Business Park, #03-12,The Synergy, Singapore|Singapore Singapore 609917|SG|
40-9C-28	1 Infinite Loop|Cupertino CA 95014|US|
40-A6-D9	1 Infinite Loop|Cupertino CA 95014|US|
40-B3-95	1 Infinite Loop|Cupertino CA 95014|US|
40-BC-60	1 Infinite Loop|Cupertino CA 95014|US|
40-CB-C0	1 Infinite Loop|Cupertino CA 95014|US|
40-D3-2D	1 Infinite Loop|Cupertino CA 95014|US|
44-00-10	1 Infinite Loop|Cupertino CA 95014|US|
44-18-FD	1 Infinite Loop|Cupertino CA 95014|US|
44-2A-60	1 Infinite Loop|Cupertino CA 95014|US|
44-4C-0C	1 Infinite Loop|Cupertino CA 95014|US|
44-D8-84	1 Infinite Loop|Cupertino CA 95014|US|
44-E6-6E	1 Infinite Loop|Cupertino CA 95014|US|
44-FB-42	1 Infinite Loop|Cupertino CA 95014|US|
